"catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"6138","NA","North America",,
"5609","NA","North America",,
"5808","NA","North America",,
"3456","NA","North America",,
"1937","NA","North America",,
"1936","NA","North America",,
"3450","NA","North America",,
"3446","NA","North America",,
"3447","NA","North America",,
"3458","NA","North America",,
"3449","NA","North America",,
"3457","NA","North America",,
"3451","NA","North America",,
"3452","NA","North America",,
"3453","NA","North America",,
"3454","NA","North America",,
"3455","NA","North America",,
"3448","NA","North America",,
"6128","NA","North America",,
"6120","NA","North America",,
"6121","NA","North America",,
"6131","NA","North America",,
"6129","NA","North America",,
"6127","NA","North America",,
"6126","NA","North America",,
"6125","NA","North America",,
"6124","NA","North America",,
"6122","NA","North America",,
"6116","NA","North America",,
"6117","NA","North America",,
"6130","NA","North America",,
"6118","NA","North America",,
"6119","NA","North America",,
"6123","NA","North America",,
"5608","NA","North America",,
"5641","NA","North America",,
"5642","NA","North America",,
"6018","NA","North America",,
"6108","NA","North America",,
"6017","NA","North America",,
"6110","NA","North America",,
"6016","NA","North America",,
"6109","NA","North America",,
"5643","NA","North America",,
"6106","NA","North America",,
"6107","NA","North America",,
"2113","NA","North America",,
"835","NA","North America",,
"834","NA","North America",,
"833","NA","North America",,
"846","NA","North America",,
"839","NA","North America",,
"843","NA","North America",,
"838","NA","North America",,
"836","NA","North America",,
"845","NA","North America",,
"844","NA","North America",,
"842","NA","North America",,
"841","NA","North America",,
"840","NA","North America",,
"837","NA","North America",,
"1077","NA","North America",,
"2424","NA","North America",,
"2418","NA","North America",,
"2419","NA","North America",,
"2420","NA","North America",,
"2421","NA","North America",,
"2422","NA","North America",,
"2423","NA","North America",,
"5624","NA","North America",,
"5625","NA","North America",,
"5626","NA","North America",,
"832","NA","North America",,
"831","NA","North America",,
"830","NA","North America",,
"829","NA","North America",,
"827","NA","North America",,
"826","NA","North America",,
"5903","NA","North America",,
"5902","NA","North America",,
"5901","NA","North America",,
"5899","NA","North America",,
"5897","NA","North America",,
"5898","NA","North America",,
"5895","NA","North America",,
"5896","NA","North America",,
"828","NA","North America",,
"5900","NA","North America",,
"6005","NA","North America",,
"5599","NA","North America",,
"5517","NA","North America",,
"5583","NA","North America",,
"5893","NA","North America",,
"5894","NA","North America",,
"5519","NA","North America",,
"5578","NA","North America",,
"5579","NA","North America",,
"5580","NA","North America",,
"5601","NA","North America",,
"5582","NA","North America",,
"5516","NA","North America",,
"5584","NA","North America",,
"5525","NA","North America",,
"5600","NA","North America",,
"5513","NA","North America",,
"5514","NA","North America",,
"5515","NA","North America",,
"5581","NA","North America",,
"5524","NA","North America",,
"5518","NA","North America",,
"5520","NA","North America",,
"5521","NA","North America",,
"5522","NA","North America",,
"5523","NA","North America",,
"2930","NA","North America",,
"2929","NA","North America",,
"3324","NA","North America",,
"3323","NA","North America",,
